Year,Month,Monthly_Anomaly,Monthly_Uncertainty,Annual_Anomaly,Annual_Uncertainty,FiveYear_Anomaly,FiveYear_Uncertainty,TenYear_Anomaly,TenYear_Uncertainty,TwentyYear_Anomaly,TwentyYear_Uncertainty
1853,7,-0.083,0.195,-0.444,0.16,-0.387,0.117,,,,
1853,8,-0.177,0.227,-0.455,0.147,-0.388,0.118,,,,
1853,9,-0.486,0.201,-0.439,0.148,-0.385,0.118,,,,
1853,10,-0.548,0.243,-0.44,0.137,-0.379,0.117,,,,
1853,11,-0.727,0.297,-0.44,0.139,-0.378,0.117,,,,
1853,12,-0.405,0.298,-0.461,0.139,-0.377,0.117,,,,
1854,1,-0.603,0.455,-0.475,0.144,-0.378,0.115,,,,
1854,2,-0.642,0.326,-0.482,0.144,-0.383,0.114,,,,
1854,3,-0.342,0.282,-0.469,0.145,-0.389,0.113,,,,
1854,4,-0.444,0.249,-0.422,0.148,-0.398,0.109,,,,
1854,5,-0.342,0.264,-0.39,0.151,-0.401,0.107,,,,
1854,6,-0.526,0.239,-0.373,0.142,-0.404,0.105,,,,
1854,7,-0.248,0.25,-0.327,0.143,-0.408,0.103,,,,
1854,8,-0.272,0.268,-0.288,0.139,-0.408,0.103,,,,
1854,9,-0.329,0.216,-0.286,0.139,-0.404,0.103,,,,
1854,10,0.025,0.304,-0.26,0.136,-0.409,0.103,,,,
1854,11,-0.343,0.278,-0.253,0.131,-0.418,0.102,,,,
1854,12,-0.208,0.383,-0.238,0.128,-0.425,0.099,-0.443,0.099,,
1855,1,-0.05,0.512,-0.252,0.129,-0.431,0.099,-0.44,0.098,,
1855,2,-0.171,0.444,-0.256,0.134,-0.433,0.099,-0.442,0.097,,
1855,3,-0.319,0.303,-0.273,0.136,-0.435,0.098,-0.445,0.096,,
1855,4,-0.126,0.306,-0.308,0.133,-0.44,0.098,-0.443,0.094,,
1855,5,-0.267,0.246,-0.312,0.132,-0.44,0.099,-0.44,0.092,,
1855,6,-0.335,0.193,-0.347,0.122,-0.446,0.097,-0.439,0.092,,
1855,7,-0.425,0.191,-0.354,0.119,-0.445,0.096,-0.439,0.091,,
1855,8,-0.318,0.203,-0.384,0.125,-0.446,0.094,-0.439,0.091,,
1855,9,-0.536,0.214,-0.399,0.126,-0.444,0.094,-0.437,0.091,,
1855,10,-0.397,0.227,-0.417,0.125,-0.442,0.092,-0.434,0.09,,
1855,11,-0.39,0.27,-0.425,0.128,-0.446,0.091,-0.433,0.09,,
1855,12,-0.625,0.316,-0.412,0.135,-0.448,0.089,-0.437,0.091,,
1856,1,-0.136,0.37,-0.406,0.129,-0.455,0.09,-0.444,0.091,,
1856,2,-0.524,0.398,-0.428,0.134,-0.46,0.089,-0.447,0.09,,
1856,3,-0.501,0.33,-0.448,0.139,-0.461,0.089,-0.447,0.09,,
1856,4,-0.35,0.244,-0.473,0.134,-0.458,0.089,-0.446,0.089,,
1856,5,-0.354,0.314,-0.492,0.128,-0.451,0.088,-0.447,0.089,,
1856,6,-0.186,0.278,-0.475,0.127,-0.454,0.088,-0.448,0.088,,
1856,7,-0.349,0.271,-0.51,0.127,-0.451,0.086,-0.449,0.088,,
1856,8,-0.586,0.22,-0.514,0.129,-0.449,0.086,-0.448,0.088,,
1856,9,-0.767,0.263,-0.518,0.132,-0.449,0.085,-0.449,0.087,,
1856,10,-0.703,0.239,-0.562,0.133,-0.444,0.085,-0.453,0.086,,
1856,11,-0.612,0.236,-0.602,0.127,-0.441,0.084,-0.452,0.086,,
1856,12,-0.424,0.326,-0.639,0.124,-0.437,0.083,-0.454,0.084,,
1857,1,-0.561,0.411,-0.652,0.128,-0.44,0.082,-0.459,0.084,,
1857,2,-0.574,0.356,-0.647,0.127,-0.444,0.082,-0.461,0.083,,
1857,3,-0.54,0.368,-0.626,0.124,-0.451,0.082,-0.458,0.083,,
1857,4,-0.886,0.26,-0.615,0.131,-0.458,0.081,-0.459,0.083,,
1857,5,-0.831,0.202,-0.612,0.132,-0.458,0.081,-0.46,0.083,,
1857,6,-0.627,0.183,-0.608,0.131,-0.46,0.082,-0.461,0.083,,
1857,7,-0.509,0.203,-0.587,0.141,-0.466,0.082,-0.464,0.084,,
1857,8,-0.522,0.213,-0.59,0.136,-0.47,0.084,-0.465,0.084,,
1857,9,-0.512,0.252,-0.576,0.127,-0.479,0.085,-0.467,0.085,,
1857,10,-0.578,0.253,-0.532,0.122,-0.484,0.084,-0.47,0.085,,
1857,11,-0.575,0.259,-0.508,0.12,-0.485,0.083,-0.471,0.086,,
1857,12,-0.371,0.278,-0.492,0.12,-0.485,0.083,-0.48,0.086,,
1858,1,-0.313,0.351,-0.489,0.12,-0.482,0.084,-0.478,0.086,,
1858,2,-0.616,0.289,-0.484,0.117,-0.48,0.085,-0.476,0.087,,
1858,3,-0.363,0.249,-0.488,0.116,-0.475,0.085,-0.475,0.087,,
1858,4,-0.361,0.248,-0.471,0.117,-0.474,0.086,-0.474,0.088,,
1858,5,-0.542,0.231,-0.447,0.118,-0.478,0.086,-0.473,0.089,,
1858,6,-0.435,0.172,-0.465,0.12,-0.484,0.086,-0.474,0.089,,
1858,7,-0.476,0.2,-0.476,0.121,-0.501,0.087,-0.477,0.09,,
1858,8,-0.462,0.227,-0.467,0.122,-0.506,0.087,-0.479,0.09,,
1858,9,-0.561,0.223,-0.465,0.129,-0.51,0.087,-0.48,0.091,,
1858,10,-0.371,0.228,-0.448,0.125,-0.513,0.087,-0.481,0.091,,
1858,11,-0.288,0.288,-0.416,0.121,-0.516,0.088,-0.478,0.092,,
1858,12,-0.589,0.293,-0.405,0.122,-0.52,0.088,-0.479,0.093,,
1859,1,-0.446,0.358,-0.402,0.128,-0.52,0.089,-0.48,0.093,,
1859,2,-0.501,0.277,-0.407,0.128,-0.514,0.09,-0.48,0.093,,
1859,3,-0.343,0.279,-0.418,0.125,-0.509,0.091,-0.481,0.093,,
1859,4,-0.157,0.254,-0.421,0.132,-0.507,0.092,-0.481,0.094,,
1859,5,-0.155,0.237,-0.426,0.133,-0.503,0.093,-0.481,0.094,,
1859,6,-0.302,0.184,-0.403,0.129,-0.504,0.093,-0.478,0.095,,
1859,7,-0.437,0.249,-0.403,0.122,-0.511,0.095,-0.478,0.096,,
1859,8,-0.523,0.214,-0.397,0.122,-0.514,0.096,-0.479,0.097,,
1859,9,-0.703,0.217,-0.436,0.123,-0.513,0.097,-0.48,0.098,,
1859,10,-0.407,0.272,-0.46,0.122,-0.509,0.099,-0.484,0.096,,
1859,11,-0.343,0.242,-0.475,0.126,-0.501,0.102,-0.485,0.097,,
1859,12,-0.31,0.382,-0.475,0.128,-0.497,0.104,-0.487,0.097,-0.422,0.091
1860,1,-0.446,0.331,-0.46,0.123,-0.496,0.105,-0.487,0.097,-0.42,0.09
1860,2,-0.425,0.312,-0.431,0.124,-0.497,0.107,-0.489,0.098,-0.421,0.089
1860,3,-0.818,0.295,-0.396,0.128,-0.5,0.108,-0.491,0.098,-0.421,0.089
1860,4,-0.446,0.265,-0.39,0.127,-0.5,0.111,-0.494,0.098,-0.419,0.088
1860,5,-0.333,0.312,-0.413,0.124,-0.502,0.113,-0.495,0.098,-0.417,0.088
1860,6,-0.303,0.193,-0.469,0.121,-0.514,0.114,-0.495,0.098,-0.416,0.088
1860,7,-0.256,0.251,-0.529,0.122,-0.512,0.114,-0.493,0.099,-0.416,0.088
1860,8,-0.18,0.231,-0.562,0.123,-0.506,0.116,-0.493,0.1,-0.416,0.088
1860,9,-0.283,0.216,-0.555,0.125,-0.506,0.118,-0.491,0.101,-0.415,0.088
1860,10,-0.33,0.212,-0.561,0.129,-0.505,0.12,-0.489,0.101,-0.414,0.088
1860,11,-0.618,0.255,-0.58,0.135,-0.5,0.119,-0.488,0.101,-0.413,0.088
1860,12,-0.986,0.361,-0.589,0.136,-0.5,0.121,-0.487,0.101,-0.413,0.088
1861,1,-1.162,0.353,-0.597,0.136,-0.499,0.122,-0.486,0.101,-0.414,0.088
1861,2,-0.824,0.293,-0.602,0.136,-0.499,0.123,-0.485,0.101,-0.414,0.087
1861,3,-0.735,0.288,-0.617,0.143,-0.5,0.123,-0.485,0.1,-0.413,0.087
1861,4,-0.517,0.326,-0.639,0.145,-0.504,0.124,-0.486,0.1,-0.411,0.087
1861,5,-0.555,0.265,-0.616,0.149,-0.506,0.125,-0.486,0.101,-0.41,0.087
1861,6,-0.413,0.206,-0.575,0.16,-0.505,0.128,-0.487,0.101,-0.41,0.087
1861,7,-0.356,0.243,-0.558,0.175,-0.51,0.13,-0.483,0.102,-0.41,0.087
1861,8,-0.238,0.228,-0.552,0.176,-0.511,0.129,-0.481,0.103,-0.409,0.087
1861,9,-0.464,0.284,-0.533,0.173,-0.513,0.128,-0.477,0.103,-0.409,0.087
1861,10,-0.594,0.244,-0.543,0.173,-0.519,0.129,-0.475,0.104,-0.41,0.086
1861,11,-0.345,0.295,-0.526,0.178,-0.52,0.131,-0.471,0.104,-0.41,0.086
1861,12,-0.492,0.404,-0.526,0.186,-0.518,0.132,-0.468,0.104,-0.411,0.086
1862,1,-0.952,0.424,-0.533,0.184,-0.516,0.133,-0.465,0.104,-0.412,0.085
1862,2,-0.757,0.32,-0.561,0.189,-0.513,0.134,-0.463,0.104,-0.412,0.085
1862,3,-0.51,0.268,-0.578,0.191,-0.51,0.135,-0.462,0.104,-0.41,0.085
1862,4,-0.635,0.286,-0.577,0.197,-0.51,0.134,-0.457,0.105,-0.409,0.085
1862,5,-0.354,0.305,-0.61,0.2,-0.512,0.133,-0.454,0.105,-0.409,0.084
1862,6,-0.412,0.272,-0.657,0.202,-0.515,0.133,-0.451,0.106,-0.409,0.084
1862,7,-0.438,0.212,-0.595,0.2,-0.508,0.134,-0.449,0.106,-0.409,0.084
1862,8,-0.567,0.271,-0.551,0.208,-0.509,0.135,-0.448,0.107,-0.408,0.084
1862,9,-0.673,0.263,-0.542,0.211,-0.503,0.135,-0.445,0.107,-0.407,0.084
1862,10,-0.586,0.302,-0.513,0.212,-0.504,0.135,-0.441,0.107,-0.407,0.084
1862,11,-0.736,0.322,-0.505,0.2,-0.504,0.136,-0.435,0.107,-0.406,0.084
1862,12,-1.064,0.367,-0.504,0.199,-0.505,0.136,-0.433,0.108,-0.409,0.084
1863,1,-0.204,0.418,-0.505,0.197,-0.504,0.136,-0.435,0.108,-0.408,0.084
1863,2,-0.224,0.458,-0.496,0.193,-0.506,0.136,-0.436,0.108,-0.407,0.084
1863,3,-0.41,0.286,-0.49,0.186,-0.506,0.137,-0.436,0.108,-0.406,0.084
1863,4,-0.288,0.328,-0.49,0.183,-0.504,0.136,-0.434,0.108,-0.406,0.084
1863,5,-0.257,0.244,-0.467,0.181,-0.498,0.137,-0.431,0.109,-0.406,0.084
1863,6,-0.399,0.214,-0.421,0.187,-0.49,0.137,-0.429,0.109,-0.406,0.084
1863,7,-0.442,0.23,-0.465,0.189,-0.47,0.138,-0.425,0.11,-0.407,0.084
1863,8,-0.465,0.267,-0.492,0.182,-0.463,0.136,-0.422,0.11,-0.407,0.085
1863,9,-0.598,0.227,-0.5,0.177,-0.46,0.133,-0.419,0.11,-0.406,0.085
1863,10,-0.588,0.253,-0.517,0.176,-0.46,0.132,-0.417,0.11,-0.405,0.085
1863,11,-0.456,0.269,-0.515,0.18,-0.457,0.131,-0.417,0.111,-0.404,0.085
1863,12,-0.518,0.373,-0.497,0.177,-0.454,0.132,-0.414,0.111,-0.403,0.085
1864,1,-0.73,0.404,-0.483,0.176,-0.447,0.131,-0.412,0.11,-0.401,0.084
1864,2,-0.548,0.37,-0.477,0.17,-0.447,0.132,-0.408,0.111,-0.4,0.084
1864,3,-0.5,0.293,-0.47,0.17,-0.446,0.132,-0.409,0.11,-0.401,0.084
1864,4,-0.498,0.261,-0.455,0.158,-0.442,0.132,-0.411,0.11,-0.401,0.084
1864,5,-0.228,0.225,-0.454,0.15,-0.439,0.132,-0.411,0.111,-0.401,0.084
1864,6,-0.187,0.232,-0.454,0.142,-0.431,0.131,-0.411,0.11,-0.401,0.084
1864,7,-0.271,0.257,-0.395,0.135,-0.419,0.129,-0.409,0.11,-0.401,0.084
1864,8,-0.399,0.247,-0.386,0.137,-0.413,0.128,-0.407,0.11,-0.401,0.085
1864,9,-0.511,0.25,-0.387,0.136,-0.411,0.127,-0.402,0.11,-0.4,0.085
1864,10,-0.402,0.233,-0.386,0.137,-0.404,0.126,-0.4,0.11,-0.402,0.085
1864,11,-0.443,0.28,-0.396,0.137,-0.406,0.126,-0.4,0.109,-0.403,0.085
1864,12,-0.521,0.24,-0.407,0.136,-0.405,0.125,-0.401,0.109,-0.403,0.085
1865,1,-0.027,0.313,-0.404,0.139,-0.402,0.125,-0.4,0.109,-0.405,0.085
1865,2,-0.436,0.295,-0.393,0.143,-0.399,0.125,-0.4,0.109,-0.406,0.085
1865,3,-0.508,0.289,-0.375,0.144,-0.391,0.125,-0.397,0.109,-0.407,0.085
1865,4,-0.491,0.253,-0.361,0.15,-0.383,0.125,-0.395,0.109,-0.408,0.085
1865,5,-0.344,0.225,-0.343,0.154,-0.367,0.124,-0.395,0.109,-0.408,0.085
1865,6,-0.325,0.203,-0.342,0.157,-0.353,0.123,-0.394,0.108,-0.408,0.085
1865,7,-0.238,0.266,-0.339,0.161,-0.358,0.122,-0.393,0.108,-0.408,0.084
1865,8,-0.265,0.251,-0.337,0.162,-0.366,0.122,-0.394,0.107,-0.408,0.085
1865,9,-0.292,0.238,-0.336,0.162,-0.365,0.121,-0.394,0.107,-0.407,0.085
1865,10,-0.238,0.275,-0.339,0.163,-0.363,0.121,-0.394,0.107,-0.406,0.085
1865,11,-0.224,0.283,-0.341,0.163,-0.361,0.121,-0.392,0.107,-0.407,0.084
1865,12,-0.506,0.317,-0.334,0.16,-0.358,0.121,-0.389,0.107,-0.407,0.085
1866,1,0.001,0.361,-0.308,0.163,-0.35,0.12,-0.384,0.107,-0.408,0.084
1866,2,-0.404,0.378,-0.307,0.164,-0.344,0.119,-0.382,0.107,-0.407,0.085
1866,3,-0.504,0.314,-0.315,0.163,-0.339,0.119,-0.378,0.106,-0.407,0.085
1866,4,-0.526,0.24,-0.327,0.158,-0.33,0.118,-0.375,0.105,-0.407,0.084
1866,5,-0.362,0.242,-0.323,0.151,-0.328,0.117,-0.373,0.104,-0.408,0.084
1866,6,-0.243,0.218,-0.281,0.147,-0.322,0.116,-0.372,0.104,-0.409,0.084
1866,7,0.073,0.225,-0.298,0.147,-0.314,0.115,-0.37,0.104,-0.408,0.084
1866,8,-0.253,0.232,-0.299,0.145,-0.306,0.115,-0.37,0.103,-0.407,0.084
1866,9,-0.39,0.234,-0.289,0.145,-0.305,0.115,-0.37,0.103,-0.406,0.084
1866,10,-0.376,0.232,-0.265,0.145,-0.302,0.114,-0.367,0.102,-0.404,0.084
1866,11,-0.178,0.242,-0.276,0.146,-0.302,0.113,-0.369,0.102,-0.404,0.084
1866,12,-0.002,0.298,-0.281,0.147,-0.303,0.113,-0.368,0.102,-0.405,0.084
1867,1,-0.206,0.344,-0.311,0.145,-0.303,0.113,-0.365,0.101,-0.403,0.084
1867,2,-0.412,0.287,-0.319,0.146,-0.3,0.113,-0.362,0.1,-0.402,0.084
1867,3,-0.385,0.269,-0.306,0.146,-0.293,0.113,-0.361,0.1,-0.399,0.084
1867,4,-0.24,0.224,-0.281,0.147,-0.291,0.113,-0.359,0.099,-0.397,0.084
1867,5,-0.491,0.213,-0.251,0.146,-0.287,0.112,-0.358,0.098,-0.394,0.084
1867,6,-0.307,0.192,-0.266,0.146,-0.286,0.112,-0.357,0.098,-0.392,0.085
1867,7,-0.287,0.235,-0.294,0.146,-0.291,0.111,-0.355,0.098,-0.389,0.085
1867,8,-0.349,0.251,-0.316,0.148,-0.292,0.11,-0.351,0.097,-0.386,0.085
1867,9,-0.23,0.218,-0.313,0.148,-0.29,0.109,-0.347,0.096,-0.384,0.085
1867,10,-0.075,0.274,-0.308,0.147,-0.287,0.107,-0.344,0.096,-0.381,0.085
1867,11,0.181,0.302,-0.28,0.145,-0.285,0.106,-0.342,0.095,-0.378,0.085
1867,12,-0.191,0.351,-0.269,0.147,-0.283,0.105,-0.337,0.094,-0.377,0.085
1868,1,-0.534,0.308,-0.244,0.143,-0.281,0.104,-0.338,0.093,-0.375,0.085
1868,2,-0.674,0.267,-0.224,0.139,-0.282,0.103,-0.337,0.092,-0.371,0.085
1868,3,-0.358,0.232,-0.229,0.138,-0.281,0.102,-0.337,0.092,-0.368,0.085
1868,4,-0.172,0.231,-0.226,0.137,-0.284,0.1,-0.338,0.092,-0.365,0.085
1868,5,-0.157,0.245,-0.272,0.131,-0.286,0.099,-0.339,0.091,-0.363,0.084
1868,6,-0.177,0.208,-0.27,0.128,-0.288,0.098,-0.338,0.091,-0.361,0.084
1868,7,0.013,0.201,-0.242,0.127,-0.297,0.097,-0.336,0.091,-0.359,0.084
1868,8,-0.107,0.226,-0.192,0.13,-0.301,0.096,-0.334,0.09,-0.357,0.084
1868,9,-0.291,0.213,-0.201,0.131,-0.297,0.095,-0.332,0.09,-0.355,0.084
1868,10,-0.035,0.231,-0.212,0.127,-0.29,0.094,-0.329,0.089,-0.354,0.084
1868,11,-0.375,0.244,-0.217,0.124,-0.289,0.093,-0.329,0.088,-0.352,0.084
1868,12,-0.162,0.27,-0.223,0.122,-0.289,0.093,-0.326,0.087,-0.351,0.084
1869,1,-0.2,0.286,-0.246,0.121,-0.294,0.091,-0.322,0.087,-0.349,0.084
1869,2,-0.073,0.351,-0.256,0.122,-0.293,0.09,-0.32,0.086,-0.348,0.083
1869,3,-0.466,0.225,-0.241,0.123,-0.294,0.089,-0.322,0.086,-0.348,0.083
1869,4,-0.309,0.25,-0.259,0.123,-0.292,0.088,-0.321,0.086,-0.348,0.083
1869,5,-0.215,0.209,-0.248,0.123,-0.299,0.087,-0.322,0.085,-0.349,0.083
1869,6,-0.248,0.257,-0.27,0.119,-0.306,0.087,-0.324,0.085,-0.348,0.083
1869,7,-0.269,0.219,-0.281,0.117,-0.311,0.085,-0.324,0.085,-0.348,0.083
1869,8,-0.224,0.244,-0.318,0.122,-0.312,0.085,-0.323,0.085,-0.347,0.083
1869,9,-0.107,0.214,-0.31,0.123,-0.311,0.084,-0.32,0.085,-0.345,0.083
1869,10,-0.252,0.224,-0.31,0.123,-0.314,0.084,-0.32,0.085,-0.344,0.083
1869,11,-0.24,0.22,-0.313,0.121,-0.309,0.083,-0.32,0.085,-0.344,0.083
1869,12,-0.428,0.236,-0.306,0.112,-0.31,0.083,-0.318,0.084,-0.345,0.082
1870,1,-0.332,0.255,-0.296,0.107,-0.308,0.082,-0.322,0.084,-0.345,0.082
1870,2,-0.518,0.248,-0.304,0.105,-0.303,0.081,-0.322,0.084,-0.345,0.082
1870,3,-0.37,0.214,-0.316,0.104,-0.303,0.08,-0.322,0.083,-0.343,0.082
1870,4,-0.307,0.188,-0.328,0.103,-0.305,0.079,-0.322,0.082,-0.343,0.082
1870,5,-0.252,0.198,-0.339,0.105,-0.316,0.078,-0.322,0.082,-0.342,0.082
1870,6,-0.169,0.178,-0.354,0.105,-0.322,0.077,-0.322,0.081,-0.342,0.082
1870,7,-0.145,0.178,-0.373,0.107,-0.318,0.077,-0.323,0.081,-0.342,0.082
1870,8,-0.327,0.197,-0.379,0.109,-0.309,0.077,-0.323,0.08,-0.342,0.082
1870,9,-0.248,0.202,-0.374,0.111,-0.308,0.077,-0.324,0.079,-0.343,0.082
1870,10,-0.388,0.201,-0.357,0.112,-0.314,0.077,-0.324,0.079,-0.343,0.081
1870,11,-0.376,0.267,-0.361,0.11,-0.317,0.077,-0.327,0.078,-0.341,0.081
1870,12,-0.611,0.219,-0.367,0.107,-0.318,0.077,-0.327,0.077,-0.338,0.082
1871,1,-0.559,0.283,-0.371,0.107,-0.322,0.077,-0.33,0.077,-0.334,0.082
1871,2,-0.595,0.267,-0.362,0.109,-0.323,0.077,-0.33,0.077,-0.332,0.081
1871,3,-0.302,0.217,-0.378,0.108,-0.325,0.077,-0.329,0.077,-0.329,0.081
1871,4,-0.1,0.186,-0.37,0.107,-0.329,0.077,-0.327,0.076,-0.327,0.081
1871,5,-0.301,0.186,-0.386,0.11,-0.329,0.077,-0.329,0.076,-0.325,0.08
1871,6,-0.252,0.178,-0.37,0.111,-0.33,0.077,-0.33,0.075,-0.325,0.08
1871,7,-0.189,0.242,-0.364,0.116,-0.33,0.077,-0.333,0.075,-0.324,0.08
1871,8,-0.217,0.235,-0.354,0.118,-0.335,0.077,-0.334,0.074,-0.324,0.08
1871,9,-0.436,0.219,-0.359,0.124,-0.338,0.077,-0.334,0.074,-0.324,0.08
1871,10,-0.292,0.199,-0.382,0.126,-0.34,0.077,-0.334,0.074,-0.323,0.079
1871,11,-0.576,0.249,-0.377,0.13,-0.342,0.077,-0.337,0.073,-0.323,0.079
1871,12,-0.414,0.218,-0.383,0.129,-0.344,0.077,-0.342,0.074,-0.322,0.079
1872,1,-0.493,0.382,-0.381,0.124,-0.345,0.077,-0.342,0.073,-0.318,0.078
1872,2,-0.476,0.258,-0.37,0.117,-0.346,0.078,-0.34,0.073,-0.315,0.078
1872,3,-0.362,0.242,-0.352,0.115,-0.348,0.078,-0.337,0.073,-0.313,0.078
1872,4,-0.371,0.209,-0.346,0.114,-0.35,0.079,-0.337,0.073,-0.312,0.077
1872,5,-0.239,0.215,-0.336,0.112,-0.353,0.079,-0.334,0.072,-0.312,0.077
1872,6,-0.327,0.191,-0.344,0.115,-0.351,0.079,-0.332,0.072,-0.312,0.077
1872,7,-0.16,0.191,-0.33,0.109,-0.354,0.08,-0.329,0.072,-0.311,0.076
1872,8,-0.087,0.221,-0.299,0.11,-0.353,0.08,-0.325,0.072,-0.31,0.076
1872,9,-0.219,0.201,-0.297,0.111,-0.355,0.08,-0.322,0.072,-0.308,0.076
1872,10,-0.221,0.198,-0.309,0.114,-0.357,0.08,-0.32,0.071,-0.307,0.075
1872,11,-0.46,0.203,-0.316,0.112,-0.359,0.079,-0.321,0.072,-0.306,0.075
1872,12,-0.513,0.292,-0.311,0.113,-0.362,0.08,-0.32,0.072,-0.305,0.075
1873,1,-0.324,0.242,-0.316,0.119,-0.364,0.079,-0.316,0.072,-0.306,0.074
1873,2,-0.106,0.232,-0.324,0.124,-0.364,0.079,-0.307,0.072,-0.307,0.074
1873,3,-0.337,0.212,-0.34,0.126,-0.366,0.079,-0.3,0.072,-0.305,0.074
1873,4,-0.514,0.236,-0.343,0.128,-0.363,0.079,-0.296,0.072,-0.306,0.074
1873,5,-0.317,0.198,-0.335,0.133,-0.367,0.08,-0.296,0.071,-0.306,0.073
1873,6,-0.267,0.207,-0.312,0.128,-0.365,0.081,-0.294,0.071,-0.305,0.073
1873,7,-0.216,0.248,-0.304,0.129,-0.363,0.081,-0.293,0.071,-0.304,0.073
1873,8,-0.188,0.224,-0.323,0.129,-0.359,0.082,-0.292,0.07,-0.304,0.073
1873,9,-0.41,0.23,-0.351,0.126,-0.36,0.083,-0.29,0.07,-0.303,0.072
1873,10,-0.262,0.188,-0.342,0.121,-0.365,0.083,-0.29,0.07,-0.302,0.072
1873,11,-0.362,0.234,-0.345,0.118,-0.369,0.082,-0.287,0.07,-0.302,0.072
1873,12,-0.23,0.221,-0.355,0.116,-0.371,0.082,-0.287,0.07,-0.301,0.071
1874,1,-0.233,0.263,-0.364,0.113,-0.372,0.081,-0.287,0.07,-0.3,0.071
1874,2,-0.329,0.238,-0.368,0.113,-0.374,0.08,-0.289,0.069,-0.298,0.071
1874,3,-0.673,0.205,-0.353,0.115,-0.374,0.08,-0.286,0.07,-0.299,0.07
1874,4,-0.413,0.19,-0.362,0.118,-0.375,0.08,-0.286,0.07,-0.299,0.07
1874,5,-0.355,0.196,-0.37,0.117,-0.374,0.081,-0.287,0.069,-0.3,0.07
1874,6,-0.376,0.181,-0.376,0.113,-0.378,0.081,-0.286,0.07,-0.302,0.07
1874,7,-0.331,0.189,-0.398,0.111,-0.373,0.081,-0.286,0.069,-0.303,0.07
1874,8,-0.229,0.204,-0.408,0.11,-0.368,0.081,-0.287,0.069,-0.304,0.069
1874,9,-0.239,0.204,-0.394,0.109,-0.362,0.08,-0.289,0.069,-0.304,0.069
1874,10,-0.361,0.229,-0.396,0.109,-0.36,0.08,-0.288,0.069,-0.304,0.069
1874,11,-0.463,0.22,-0.395,0.108,-0.358,0.08,-0.289,0.069,-0.305,0.069
1874,12,-0.307,0.21,-0.392,0.106,-0.355,0.08,-0.289,0.069,-0.305,0.069
1875,1,-0.498,0.233,-0.389,0.103,-0.351,0.08,-0.29,0.069,-0.308,0.069
1875,2,-0.444,0.232,-0.397,0.102,-0.347,0.081,-0.29,0.07,-0.308,0.068
1875,3,-0.505,0.186,-0.406,0.1,-0.341,0.081,-0.289,0.07,-0.308,0.068
1875,4,-0.433,0.178,-0.397,0.097,-0.335,0.081,-0.29,0.07,-0.308,0.068
